20220304||||||||
IBOV|IBRX100|Empresa|Valor (R$ Mil) em 25/02/2022|Valor (R$ Mil) em 31/01/2022|Var (%)|Valor (USD Mil) em 25/02/2022|Valor (USD Mil) em 31/01/2022|Var (%)
||OSX BRASIL|24397294.50|24271372.98|0.52|4747109.00|4530439.00|4.78
||OUROFINO S/A|1259709290.10|1364370361.74|-7.67|245108240.00|254670243.00|-3.75
*|**|P.ACUCAR-CBD|6276765307.70|6096730082.85|2.95|1221303130.00|1138001658.00|7.32
||PADTEC|448732735.88|498156096.65|-9.92|87312281.00|92984675.00|-6.10
||PAGUE MENOS|4872716060.76|3816517133.20|27.67|948109908.00|712382337.00|33.09
||PANATLANTICA|1780083145.54|1641706025.46|8.43|346360109.00|306437082.00|13.03
||PAR AL BAHIA|892451807.10|899519460.00|-0.79|173649027.00|167902240.00|3.42
||PARANAPANEMA|337247906.73|353307330.86|-4.55|65620093.00|65947536.00|-0.50
||PDG REALT|70728155.82|81954847.22|-13.70|13761948.00|15297504.00|-10.04
||PET MANGUINH|180736649.43|201044138.13|-10.10|35166877.00|37526438.00|-6.29
*|**|PETROBRAS|461151511936.54|443721441780.14|3.93|89728667147.00|82824026912.00|8.34
||PETRORECSA|5134363699.20|5069749248.00|1.27|999020061.00|946307770.00|5.57
*|**|PETRORIO|22789929660.70|21112901529.20|7.94|4434356085.00|3940885790.00|12.52
||PETTENATI|411127835.44|391106937.48|5.12|79995298.00|73003124.00|9.58
*|**|PETZ|8025036253.08|8171863674.52|-1.80|1561473373.00|1525341336.00|2.37
||PINE|278266257.80|242978732.96|14.52|54143725.00|45353853.00|19.38
||PLANOEPLANO|643406400.00|776172800.00|-17.11|125190956.00|144878635.00|-13.59
||PLASCAR PART|124129925.82|135437056.20|-8.35|24152610.00|25280370.00|-4.46
||POLPAR|4526594.59|4526594.59|0.00|880763.00|844924.00|4.24
||POMIFRUTAS|9857308.80|10473390.60|-5.88|1917988.00|1954939.00|-1.89
|**|PORTO SEGURO|13565375538.80|12821801569.80|5.80|2639486232.00|2393288082.00|10.29
||PORTOBELLO|1280557822.04|1391205099.29|-7.95|249164848.00|259679154.00|-4.05
*|**|POSITIVO TEC|1132982000.00|1327248000.00|-14.64|220450247.00|247741068.00|-11.02
||PRATICA||||0.00|0.00|
